Translation	Dutch sentence
I go to school.	Ik ga naar school.
I work every day.	Ik werk elke dag.
You come to school by bike.	Jullie komen met de fiets naar school.
The children cycle to school.	De kinderen fietsen naar school.
They cycle in the park.	Zij fietsen in het park.
The children go to school by bike.	De kinderen gaan naar school met de fiets.
The children travel by bike.	De kinderen reizen met de fiets.
They cycle to the market.	Zij gaan met de fiets naar de markt.
The students are in the classroom.	De cursisten zijn in de klas.
The students listen to the teacher.	De cursisten luisteren naar de leerkracht.
The students are learning in the classroom.	De cursisten leren in de klas.
The children listen to the teacher.	De kinderen luisteren naar de leerkracht.
The children are watching the teacher.	De kinderen kijken naar de leerkracht.
The children are learning Dutch.	De kinderen leren Nederlands.
The students are working in the classroom.	De cursisten werken in de klas.
They are learning Dutch.	Zij leren Nederlands.
She/he is reading the book.	Ze/zij leest het boek.
The girl is reading the book in her bed.	Het meisje leest het boek in haar bed.
My daughter is reading a book in bed.	Mijn dochter leest een boek in bed.
She is writing in the book.	Zij schrijft in het boek.
Anna is writing a letter.	Anna schrijft een brief.
The girl has an apple.	Het meisje heeft een appel.
The child is eating an apple.	Het kind eet een appel.
She is eating her apple.	Zij eet haar appel.
The child is eating an apple.	Het kind eet een appel.
I am eating an apple.	Ik eet een appel.
The man is looking at the computer.	De man kijkt naar de PC.
The student is drinking a black coffee and reading an article.	De cursist drinkt een zwarte koffie en leest een artikel.
The man is drinking a coffee in a restaurant.	De man drinkt een koffie in een restaurant.
The man is working on his laptop.	De man werkt met zijn laptop.
The man is in his office.	De man is in zijn bureau.
The man is writing a book.	De man schrijft een boek.
The man is reading his emails.	De man leest zijn mails.
The man is looking at the computer.	De man kijkt naar de PC.
You are walking to work.	Jullie gaan te voet naar het werk.
The girls are going to town.	De meisjes gaan naar de stad.
They are walking in the park.	Zij wandelen in het park.
Three girls are walking to school.	3 meisjes wandelen naar school.
The girls are talking and walking in the woods.	De meisjes spreken en wandelen in het bos.
'It''s my book.'	Het is mijn boek.
'It''s your crown.'	Het is jouw kroon.
'It''s his dog.'	Het is zijn hond.
'It''s her chicken.'	Het is haar kip.
'It''s our book.'	Het is ons boek.
'It''s our book.'	Het is onze boek.
'It''s your crown.'	Het is jullie kroon.
'It''s their cat.'	Het is hun kat.
1	één
2	twee
3	drie
4	vier
5	vijf
6	zes
7	zeven
8	acht
9	negen
10	tien
11	elf
12	twaalf
13	dertien
14	veertien
15	vijftien
16	zestien
17	zeventien
18	achttien
19	negentien
20	twintig
10	tien
20	twintig
30	dertig
40	veertig
50	vijftig
60	zestig
70	zeventig
80	tachtig
90	negentig
100	honderd
